Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_014,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38610,3,15,144.86,772.73
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_015,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38670,3,15,143.07,769.05
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_016,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38641,3,15,143.08,769.49
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_017,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38757,3,15,145.75,807.89
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_018,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38605,3,15,143.48,784.63
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_019,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38605,3,15,144.63,761.41
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_020,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38668,3,15,144.83,768.74
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_021,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38617,3,15,143.38,782.64
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_022,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38671,3,15,144.99,776.08
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_023,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38592,3,15,143.33,780.85
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_024,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38598,3,15,143.75,804.13
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_025,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38747,3,15,145.33,789.99
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_026,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38741,3,15,143.69,799.75
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_027,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38667,3,15,142.97,764.91
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_028,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38757,3,15,143.55,797.62
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_029,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38704,3,15,143.14,774.97
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_030,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38736,3,15,145.12,786.49
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_031,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38698,3,15,142.84,762.47
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_032,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38605,3,15,142.85,759.02
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_033,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38665,3,15,143.54,788.9
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_034,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38663,3,15,143.51,788.67
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_035,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38578,3,15,143.2,771.93
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_036,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38568,3,15,141.12,760.42
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_037,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38624,3,15,143.0,766.4
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_038,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38744,3,15,145.14,782.54
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_039,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38674,3,15,144.94,776.02
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_040,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38584,3,15,143.23,776.96
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_041,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38526,3,15,145.15,784.16
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_042,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38550,3,15,141.81,795.75
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_043,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38690,3,15,143.34,792.01
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_044,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38648,3,15,143.15,771.75
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_045,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38692,3,15,145.01,779.34
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_046,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38636,3,15,144.77,765.07
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_047,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38648,3,15,142.95,760.38
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_048,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38613,3,15,141.96,793.81
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_049,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38570,3,15,143.49,785.23
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_050,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38682,3,15,144.06,809.18
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_051,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38700,3,15,141.58,780.08
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_052,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38624,3,15,143.55,789.8
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_053,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38567,3,15,142.79,757.53
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_054,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38697,3,15,142.69,755.92
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_055,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38674,3,15,142.83,759.76
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_056,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38647,3,15,142.9,766.27
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_057,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38679,3,15,146.71,778.03
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_058,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38676,3,15,143.14,779.05
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_059,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38586,3,15,143.0,765.99
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_060,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38632,3,15,144.81,765.44
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_061,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38590,3,15,144.85,770.48
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_062,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38859,3,15,143.22,773.49
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_063,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38574,3,15,145.1,780.46
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_064,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38677,3,15,144.94,773.7
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_065,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38649,3,15,142.91,762.67
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_066,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38702,3,15,144.67,765.75
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_067,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38721,3,15,145.27,786.52
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_068,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38671,3,15,141.65,788.87
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_069,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38638,3,15,146.47,765.46
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_070,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38710,3,15,143.58,796.22
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_071,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38613,3,15,143.57,792.98
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_072,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38733,3,15,143.36,787.81
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_073,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38616,3,15,145.28,788.55
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_074,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38639,3,15,142.79,759.32
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_075,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38674,3,15,143.63,789.82
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_076,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38616,3,15,143.0,769.36
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_077,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38685,3,15,143.36,785.82
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_078,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38602,3,15,145.06,787.45
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_079,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38633,3,15,143.77,801.68
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_080,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38653,3,15,143.45,785.66
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_081,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38661,3,15,143.15,775.88
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_082,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38597,3,15,143.26,777.29
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_083,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38623,3,15,143.31,784.26
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_084,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38665,3,15,145.05,777.47
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_085,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38599,3,15,143.28,780.83
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_086,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38699,3,15,143.14,778.46
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_087,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38665,3,15,141.11,763.3
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_088,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38740,3,15,144.89,780.47
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_089,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38646,3,15,144.85,772.34
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_090,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38619,3,15,143.45,789.03
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_091,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38750,3,15,143.52,793.34
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_092,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38667,3,15,141.54,785.76
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_093,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38665,3,15,145.14,782.99
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_094,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38610,3,15,144.45,754.89
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_095,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38632,3,15,143.87,803.51
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_096,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38652,3,15,143.9,806.7
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_097,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38703,3,15,143.04,766.64
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_098,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38728,3,15,143.08,770.27
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_099,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38681,3,15,142.81,761.65
Synthetic population allocated to any nearest street | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, decentralised",individual households,households_100,fixed 5km/h service speed for entire required arc or edge,decentralised,3206,348.08646607042385,38649,3,15,143.17,775.35
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_001,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41131,3,15,153.31,850.98
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_002,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41119,3,15,148.04,819.82
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_003,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41179,3,15,147.99,804.66
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_004,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41162,3,15,150.08,823.69
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_005,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41150,3,15,148.53,832.49
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_006,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41123,3,15,147.73,811.35
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_007,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40595,3,15,148.29,824.14
