Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_075,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38674,2,8,77.93,724.32
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_076,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38616,2,8,78.21,733.52
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_077,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38685,2,8,77.69,721.84
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_078,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38602,2,8,77.69,737.34
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_079,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38633,2,8,78.49,755.57
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_080,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38653,2,8,77.81,722.99
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_081,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38661,2,8,77.42,720.65
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_082,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38597,2,8,77.45,718.29
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_083,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38623,2,8,78.24,746.98
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_084,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38665,2,8,78.11,734.81
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_085,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38599,2,8,78.12,740.04
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_086,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38699,2,8,78.23,760.03
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_087,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38665,2,8,78.16,743.14
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_088,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38740,2,8,78.13,746.02
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_089,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38646,2,8,78.05,725.21
